INFO:root:Scene Object change detection Job Started...
DEBUG:root:Monitering started...
INFO:root:15_12_01_15_01_2021: Change detected
INFO:root:15_12_01_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_02_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_03_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_04_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_05_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_06_15_01_2021: Change detected
INFO:root:15_12_07_15_01_2021: Change detected
INFO:root:15_12_07_15_01_2021: Change detected
INFO:root:15_12_07_15_01_2021: Change detected
INFO:root:15_12_07_15_01_2021: Change detected
INFO:root:15_12_07_15_01_2021: Change detected
