INFO:root:Scene Object change detection Job Started...
DEBUG:root:Monitering started...
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_17_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_18_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_19_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_20_15_01_2021: Change detected
INFO:root:15_24_21_15_01_2021: Change detected
INFO:root:15_24_21_15_01_2021: Change detected
INFO:root:15_24_21_15_01_2021: Change detected
INFO:root:15_24_21_15_01_2021: Change detected
INFO:root:15_24_21_15_01_2021: Change detected
INFO:root:15_24_21_15_01_2021: Change detected
INFO:root:15_24_21_15_01_2021: Change detected
