INFO:root:Scene Object change detection Job Started...
DEBUG:root:Monitering started...
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_37_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_38_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_39_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_40_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_41_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
INFO:root:15_16_42_15_01_2021: Change detected
