INFO:root:Scene Object change detection Job Started...
DEBUG:root:Monitering started...
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_43_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_44_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_45_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_46_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_47_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_48_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_49_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_50_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_51_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_52_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_53_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_54_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_55_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_56_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_57_15_01_2021: Change detected
INFO:root:15_29_58_15_01_2021: Change detected
INFO:root:15_29_58_15_01_2021: Change detected
INFO:root:15_29_58_15_01_2021: Change detected
INFO:root:15_29_58_15_01_2021: Change detected
