INFO:root:Scene Object change detection Job Started...
DEBUG:root:Monitering started...
INFO:root:15_42_54_15_01_2021: Change detected
INFO:root:15_42_54_15_01_2021: Change detected
INFO:root:15_42_54_15_01_2021: Change detected
INFO:root:15_42_54_15_01_2021: Change detected
INFO:root:15_42_54_15_01_2021: Change detected
INFO:root:15_42_54_15_01_2021: Change detected
INFO:root:15_42_54_15_01_2021: Change detected
INFO:root:15_42_55_15_01_2021: Change detected
INFO:root:15_42_55_15_01_2021: Change detected
INFO:root:15_42_55_15_01_2021: Change detected
INFO:root:15_42_55_15_01_2021: Change detected
INFO:root:15_42_55_15_01_2021: Change detected
INFO:root:15_42_55_15_01_2021: Change detected
INFO:root:15_42_56_15_01_2021: Change detected
INFO:root:15_42_56_15_01_2021: Change detected
INFO:root:15_42_56_15_01_2021: Change detected
INFO:root:15_42_56_15_01_2021: Change detected
INFO:root:15_42_56_15_01_2021: Change detected
INFO:root:15_42_56_15_01_2021: Change detected
INFO:root:15_42_56_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_57_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_58_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_42_59_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_00_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_01_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_02_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_03_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_04_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_05_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_06_15_01_2021: Change detected
INFO:root:15_43_07_15_01_2021: Change detected
INFO:root:15_43_07_15_01_2021: Change detected
INFO:root:15_43_07_15_01_2021: Change detected
INFO:root:15_43_07_15_01_2021: Change detected
INFO:root:15_43_07_15_01_2021: Change detected
INFO:root:15_43_07_15_01_2021: Change detected
INFO:root:15_43_07_15_01_2021: Change detected
