INFO:root:Scene Object change detection Job Started...
DEBUG:root:Monitering started...
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_04_15_01_2021: Change detected
INFO:root:15_37_05_15_01_2021: Change detected
INFO:root:15_37_05_15_01_2021: Change detected
INFO:root:15_37_05_15_01_2021: Change detected
INFO:root:15_37_05_15_01_2021: Change detected
INFO:root:15_37_05_15_01_2021: Change detected
INFO:root:15_37_05_15_01_2021: Change detected
INFO:root:15_37_05_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_15_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_16_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_17_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_18_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_19_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_20_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_21_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_22_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_23_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_24_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_25_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_26_15_01_2021: Change detected
INFO:root:15_37_27_15_01_2021: Change detected
INFO:root:15_37_27_15_01_2021: Change detected
INFO:root:15_37_27_15_01_2021: Change detected
INFO:root:15_37_27_15_01_2021: Change detected
INFO:root:15_37_27_15_01_2021: Change detected
INFO:root:15_37_27_15_01_2021: Change detected
INFO:root:15_37_27_15_01_2021: Change detected
