INFO:root:Scene Object change detection Job Started...
DEBUG:root:Monitering started...
INFO:root:15_22_41_15_01_2021: Change detected
INFO:root:15_22_41_15_01_2021: Change detected
INFO:root:15_22_41_15_01_2021: Change detected
INFO:root:15_22_41_15_01_2021: Change detected
INFO:root:15_22_41_15_01_2021: Change detected
INFO:root:15_22_41_15_01_2021: Change detected
INFO:root:15_22_41_15_01_2021: Change detected
INFO:root:15_22_41_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_42_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_43_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_44_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_45_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_46_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
INFO:root:15_22_47_15_01_2021: Change detected
